Command: goLeft, Timestamp: 2023-08-02 15:09:21, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftStop, Timestamp: 2023-08-02 15:09:24, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: updated Amplitude to 10, Timestamp: 2023-08-02 15:09:31, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: updated Amplitude to 11, Timestamp: 2023-08-02 15:09:32, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeft, Timestamp: 2023-08-02 15:09:33, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftStop, Timestamp: 2023-08-02 15:09:35, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftUp, Timestamp: 2023-08-02 15:09:37, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftUpStop, Timestamp: 2023-08-02 15:09:42, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftUp, Timestamp: 2023-08-02 15:09:43, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftUpStop, Timestamp: 2023-08-02 15:09:45, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goRightUp, Timestamp: 2023-08-02 15:10:18, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goRightUpStop, Timestamp: 2023-08-02 15:10:24, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goRight, Timestamp: 2023-08-02 15:10:25, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goRightStop, Timestamp: 2023-08-02 15:10:28, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftUp, Timestamp: 2023-08-02 15:10:29, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftUpStop, Timestamp: 2023-08-02 15:10:31, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:10:32, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForwardStop, Timestamp: 2023-08-02 15:10:36, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:10:38, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForwardStop, Timestamp: 2023-08-02 15:10:41, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:10:46, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
